SIORG,Nome do Órgão,Última Atualização,Sigla/Nome do Software,Finalidade/Descrição,Área,Criticidade,Categoria 1,Categoria 2,Categoria 3,Compartilhar?,Por quê não compartilhar?,Nível de satisfação com o uso,Plataforma Operacional,Sistema Operacional,Linguagem de Programação,Banco de Dados,Frameworks/Bibliotecas,Integrações,Situação
100916,"Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso  - IFMT",42514,Sistema de Gerenciamento de biblioteca (Gnuteca),É um software para automação de todos os processos de uma biblioteca,,Alta,Administração,Biblioteca,,,,Atende às expectativas,Web,DEBIAN 7,PHP,POSTGRES 9.4,MIOLO,,
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,SIGAA (Sistema Integrado de Gestão de Atividades Acadêmicas),"O Sistema Integrado de Gestão de Atividades Acadêmicas informatiza os procedimentos da área acadêmica e é composto por módulos que congregam atividades acadêmicas relativas ao Ensino, Pesquisa, Extensão, Monitoria, Ensino à distância, Bibliotecas, Vestibular, Secretaria de apoio ao estudante e Infraestrutura física.",,Alta,Educação,,,Não,Requer licenciamento junto a UFRN,Atende às expectativas,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,"SIPAC (Sistema Integrado de Gestão de Patrimônio, Administração e Contratos)","Permite o controle refinado dos procedimentos administrativos, oferece operações para a gestão das unidades responsáveis pelas finanças, patrimônio e contratos. ",,Alta,Administração,,,Não,Requer licenciamento junto a UFRN,Atende às expectativas,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,SIGRH (Sistema Integrado de Gestão e Recursos Humanos),"Informatização, agilidade e transparência nos procedimentos relativos à gestão de Recursos Humanos. Estão implantado e em uso os módulos de Administração de Pessoal, Cadastro, Concursos, Banco de Vagas e Capacitação.",,Alta,Administração,Recursos Humanos,,Não,Requer licenciamento junto a UFRN,Precisa melhorar,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,SIGED (Sistema Integrado de Gestão Eletrônica de Documentos),"Permite a centralização do controle de documentos, upload de documentos físicos, possibilidade de realizar buscas nos conteúdos dos documentos, organização dos documentos por tipos e pastas, cadastro de descritores de documentos, além do versionamento dos documentos cadastrados.",,Alta,,GED – Gestão Eletrônica de Documentos,,Não,Requer licenciamento junto a UFRN,Precisa melhorar,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Karavellas,"Ambiente Virtual de Ensino-Aprendizagem do IFPR, desenvolvido para os cursos de educação profissional tecnológica na modalidade de ensino a distância e presencial. Trata-se de uma interface ""amigável"" do SIGAA que estabelece um elo de comunicação entre o estudante e a instituição.",,Alta,Educação,Educação à Distância,,Não,Requer licenciamento junto a UFRN,Precisa melhorar,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em desenvolvimento
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,SIGAdmin (Sistema Integrado de Gestão da Administração e Comunicação),"Trata-se da área de administração e gestão dos sistemas integrados SIG. Este sistema gerencia entidades comuns entre os sistemas informatizados, tais como: usuários, permissões, unidades, mensagens, notícias, gerência de sites e portais, dentre outras funcionalidades.",,Alta,Administração,Controle de acesso rede/sistemas,,Não,Requer licenciamento junto a UFRN,Precisa melhorar,Web,Linux,Java,Postgres,Java Server Faces; RichFaces; Springs; Hibernate,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,SISREM (Sistema de Remoção de Servidores),"Sistema para registro de intenções, ordenação e gerenciamento dos pedidos de remoção/deslocamento de servidores, no âmbito do IFPR, com ou sem mudança de sede.",,Baixa,Administração,Recursos Humanos,,Sim,,Atende às expectativas,Web,Linux,Java,Postgres,,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Certificação ENEM,Permite a emissão de Certificados de Conclusão do Ensino Médio ou Declarações Parciais de Proficiência com base nos resultados do Exame Nacional do Ensino Médio (ENEM).,,Média,Educação,,,Sim,,Atende às expectativas,Web,Linux,PHP,MySQL,PHP/Java Bridge,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Pergamum (Sistema Integrado de Bibliotecas),"O Sistema Pergamum contempla as principais funções de uma Biblioteca, funcionando de forma integrada, tendo por finalidade melhorar a qualidade global dos serviços dos usuários, promover a cooperação no tratamento da informação e o compartilhamento de recursos de informação.",,Alta,Educação,Biblioteca,,Não,Requer licenciamento,Atende às expectativas,Web,Windows,Java/PHP,SQL Server,,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Banco de Vagas,Banco de Vagas foi desenvolvido para o cadastro e acompanhamento do banco de vagas docentes tendo como referência a unidade chamada professor-equivalente. Possibilita a consulta ao saldo de banco disponível para alocar vagas de acordo com os fatores de equivalência vigentes.,,Média,Administração,Recursos Humanos,,Sim,,Atende às expectativas,Web,Linux,PHP,Postgres,,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,HelpDesk/GLPI,"O sistema de Helpdesk tem como objetivo organizar o atendimento e serviços ofertados pela área de Tecnologia da Informação. Abertura, acompanhamento, controle e consulta de chamados abertos para o setor de suporte.",,Alta,Planejamento e Gestão,Help Desk,,Não,Open-source,Atende às expectativas,Web,Linux,PHP,MySQL,,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Projetos,"Gerenciador de projetos que dispõem de um conjunto simples de funcionalidades para acompanhamento de processos, anexar arquivos, sequenciar atividades, etc.",,Baixa,Planejamento e Gestão,Gerenciamento de Projetos,,Não,Open-source,Atende às expectativas,Web,Linux,Java,MySQL,,Web,Em produção
49103,"Instituto Federal de Educação, Ciência e Tecnologia do Paraná – IFPR",42514,Pesquisa,"Contém uma extensa variedade de modelos de questionários destinados à pesquisa e avaliação de temas institucionais como: CPA, transporte, Bolsistas, questionário Socioeconômico e alunos egressos. Seus resultados podem ser exportados e apresentadas em gráficos, tabelas ou figuras.",,Média,Pesquisa e Desenvolvimento,,,Não,Open-source,Atende às expectativas,Web,Linux,PHP,Postgres,,Web,Em produção
46784,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano – IFSERTAO-PE",42513,SAGE/Sistema de Apoio à Gestão Escolar,Sistema Acadêmico/Sistema que mantém todos os dados da vida acadêmica dos alunos e professores da Instituição.,Fim,Alta,Educação,,,Não,"O sistema não funciona multi campi, além de não possuir interface amigável com os usuários, pois a princípio foi desenvolvido apenas como protótipo.",Precisa melhorar,Web,Ubuntu Server,PHP,MySQL,,,Em produção
46784,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão Pernambucano – IFSERTAO-PE",42513,SRSC/Sistema de Reconhecimento de Saberes e Competências,"Reconhecimento de Saberes e Competências/Sistema que facilita o envio, armazenamento e avaliação da documentação dos docentes da Instituição.",Fim,Alta,Educação,,,Sim,,Atende às expectativas,Web,Debian,PHP,MySQL,Bootstrap/mPDF,,Em produção
332,Imprensa Nacional – IN,42513,SIASS,Gerenciamento de Assinaturas,Fim,Alta,Administração,,Controle de Assinaturas de produtos,Não,Específico da Imprensa Nacional,Precisa melhorar,Cliente/Servidor,Windows,Java,Oracle,,SIFAT; E-DIARIOS; PORTAL; VENDAS; SCA; CONTRATOS,Em produção
332,Imprensa Nacional – IN,42513,SIFAT,Gerenciamento de Faturamento,Fim,Alta,Administração,Contabilidade/Financeiro/Orçamento,,Não,Específico da Imprensa Nacional,Precisa melhorar,Web,Windows,Java,Oracle,,SIASS; E-DIARIOS; INCONWEB; INCONVIEW; VENDAS; PORTAL; SCA; CONTRATOS,Em produção
332,Imprensa Nacional – IN,42513,SIC/OUVIDORIA,"Gerenciamento de Atendimentos do SIC, Central de Atendimentos e Ouvidoria",Meio,Média,Administração,Ouvidoria,,Sim,,Precisa melhorar,Web,Windows,Java,Oracle,,SIASS; E-DIARIOS; INCONWEB; INCONVIEW; VENDAS; PORTAL; SCA; CONTRATOS; SIGADMIN,Em produção
332,Imprensa Nacional – IN,42513,SIGEDIN,Gerenciamento de Protocolo,Meio,Média,Administração,Protocolo,,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,SIC/OUVIDORIA; INNET; SCA; SIGADMIN,Em produção
332,Imprensa Nacional – IN,42513,E-DIARIOS,Comercialização do Diário Eetrônico,Fim,Alta,Administração,,Controle de acessos ao diário eletrônico,Não,Específico da Imprensa Nacional,Atende às expectativas,Web,Windows,Java,Oracle,,SIASS; SIFAT; PORTAL; VENDAS; SCA; CONTRATOS,Em produção
332,Imprensa Nacional – IN,42513,INCONWEB,Envio Eletrônico de Matérias,Fim,Alta,Administração,,Envio de matérias,Não,Específico da Imprensa Nacional,Atende às expectativas,Web,Windows,Java – C++,Oracle,,SIFAT; INCOMVIEW; PORTAL; SCA; GN3,Em produção
332,Imprensa Nacional – IN,42513,INCONVIEW,Administração do sistema de envio,Fim,Alta,Administração,,Administração e configuração do sist. De envio,Não,Específico da Imprensa Nacional,Atende às expectativas,Cliente/Servidor,Windows,Java – C++ - Perl,Oracle,,SIFAT; INCOMWEB; INBUSCA; PORTAL; SCA; GN3; CONTRATOS,Em produção
332,Imprensa Nacional – IN,42513,INBUSCA,Pesquisa nos jornais oficiais,Fim,Alta,Administração,,Sistema de pesquisa textual,Não,Específico da Imprensa Nacional,Atende às expectativas,Web,Windows,Java,Oracle,,PORTAL; GN3,Em produção
332,Imprensa Nacional – IN,42513,INNET,Intranet,Meio,Baixa,Administração,Portais Internet,,Sim,,Atende às expectativas,Web,Windows,Java,Oracle,,SIC/OUVIDORIA; SIGEDIN; ACESSO; PESSOAL; SCA; CONTRATOS; SIGADMIN,Em produção
332,Imprensa Nacional – IN,42513,PORTAL,Página na Internet,Fim,Alta,Administração,Portais Internet,,Sim,,Atende às expectativas,Web,Windows,Java,Oracle,,E-DIARIOS; INCONWEB; SCA; GN3,Em produção
332,Imprensa Nacional – IN,42513,ALMOXARIFADO,Gestão de Amoxarifado,Meio,Média,Administração,Compras,,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,SCA; PATRIMONIO,Em produção
332,Imprensa Nacional – IN,42513,DESTAQUE,Gestão de destaques do Portal,Fim,Alta,Administração,Portais Internet,,Sim,,Atende às expectativas,Web,Windows,Java,Oracle,,PORTAL; INCONVIEW;  SCA; GN3,Em produção
332,Imprensa Nacional – IN,42513,CARGA PDF,Sistema de transformação do DOU em PDF,Fim,Alta,Administração,,Alimentação do DOU no Portal,Não,Específico da Imprensa Nacional,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,PORTAL; INCONVIEW; SCA; GN3; PRE-IMPRESSÃO,Em produção
332,Imprensa Nacional – IN,42513,ACESSO,Controle de Acesso,Meio,Baixa,Administração,Controle de acesso rede/sistemas,,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,PESSOAL; SCA,Em produção
332,Imprensa Nacional – IN,42513,PATRIMONIO,Controle Patrimonial,Meio,Baixa,Administração,Patrimônio,,Sim,,Precisa melhorar,Cliente/Servidor,Windows,Java,Oracle,,ALMOXARIFADO; SCA,Em produção
332,Imprensa Nacional – IN,42513,VENDAS,Controle de vendas dos jornais oficiais,Fim,Média,Administração,Contabilidade/Financeiro/Orçamento,,Não,Específico da Imprensa Nacional,Atende às expectativas,Web,Windows,Java,Oracle,,SIASS; SIFAT; PORTAL; SCA,Em produção
332,Imprensa Nacional – IN,42513,PESSOAL,Gestão de Pessoas,Meio,Baixa,Administração,Recursos Humanos,,Sim,,Precisa melhorar,Cliente/Servidor,Windows,Java,Oracle,,SCA; ORÇAMENTO,Em produção
332,Imprensa Nacional – IN,42513,SCA,Sistema de Controle de Acesso de Usuários de TI,Meio,Média,Administração,Controle de acesso rede/sistemas,,Sim,,Atende às expectativas,Web,Windows,Java,Oracle,,PESSOAL,Em produção
332,Imprensa Nacional – IN,42513,GN3,Sistema Editorial dos Jornais Oficiais,Fim,Alta,Administração,,Editorial,Não,Específico da Imprensa Nacional,Atende às expectativas,Cliente/Servidor,Windows,C – Perl,SQL,,E-DIARIOS; PORTAL; INCONVIEW; SCA; GN3; PRE-IMPRESSÃO,Em produção
332,Imprensa Nacional – IN,42513,PRÉ-IMPRESSÃO,Sistema de Impressão dos jornais oficiais em papel,Fim,Alta,Administração,,Impressão Gráfica,Não,Específico da Imprensa Nacional,Atende às expectativas,Cliente/Servidor,Windows,C – Perl,SQL,,SCA; GN3,Em produção
332,Imprensa Nacional – IN,42513,CONTRATOS,Sistema de Gestão de Contratos,Meio,Baixa,Administração,Gerenciamento de Contratos,,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,SCA,Em produção
332,Imprensa Nacional – IN,42513,ORÇAMENTO,Sistema de Controle de Orçamento,Meio,Baixa,Administração,Contabilidade/Financeiro/Orçamento,,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,SIFATI; PESSOAL; SCA,Em produção
332,Imprensa Nacional – IN,42513,SIGADMIN,Sistema de Gestão Administrativa,Meio,Baixa,Administração,,Sistema de gestão administrativa,Sim,,Atende às expectativas,Cliente/Servidor,Windows,Java,Oracle,,PESSOAL; SCA,Em produção
332,Imprensa Nacional – IN,42513,WEBSERVICE,Sistema de envio e recebimento de informações eletrônicas,Fim,Alta,Administração,,Envio e recebimento de informações,Não,Específico da Imprensa Nacional,Atende às expectativas,Web,Windows,Java,Oracle,,E-DIARIOS; INCONWEB; GN3,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SIPLAN - Sistema de Planejamento Orçamentário,Gestão de recursos orçamentários,Meio,Alta,Administração,Contabilidade/Financeiro/Orçamento,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SIGECON – Sistema de Gestão de Contratos,Gestão de contratos,Meio,Média,Administração,Controle de Processos,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Precisa melhorar,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,COMPRAS – Sistema de Compras,Gestão do processo de compras,Meio,Alta,Administração,Compras,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,PATRIMÔNIO – Sistema de Gestão de Patrimônio,Gestão de patrimônio do INPE,Meio,Média,Administração,Controle de Processos,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Precisa melhorar,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SÍTIO INTERNET,Sítio Internet do INPE,Meio,Média,Pesquisa e Desenvolvimento,,,Não,não se aplica,Precisa melhorar,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SÍTIO INTRANET,Sítio Intranet do INPE,Meio,Média,Administração,,,Não,não se aplica,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,Vraptor,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,DISCO VIRTUAL,Repositório individual de dados internos ao INPE,Meio,Média,Administração,,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,Vraptor,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,CONFAC,Acompanhamento de Autorização de Compras,Meio,Média,Administração,Compras,,Não,não funciona de forma isolada pois está integrado à base de dados institucional do INPE,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,JSF/Primefaces,base institucional INPE,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SAEV,Administração de eventos,Meio,Baixa,Administração,,,Não,não se aplica,Atende às expectativas,Web,Windows,Java,PostgreSQL,Maker,não integrado,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,PRÓTON,Sistema de Informações Documentais,Meio,Média,Administração,GED – Gestão Eletrônica de Documentos,,Não,sistema proprietário,Precisa melhorar,Web,Windows,ASP,Oracle,,não integrado,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,SIAD - Sistema de Informações Administrativas,Gestão de dados de pessoas,Meio,Média,Administração,,,Não,sistema específico INPE,Não atende ao que se propõe,Cliente/Servidor,Windows,Delphi,Oracle,,não integrado,Em produção
10,Instituto Nacional de Pesquisas Espaciais – INPE,42513,Sistema Institucional,Gestão da base institucional do INPE,Meio,Alta,Administração,,,Não,sistema específico INPE,Atende às expectativas,Web,Linux CEntOS,Java,PostgreSQL,JAX-WS,SIAPE(batch offline),Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SINPI – Registro de Programas de Computador ,"Sistema que dá entrada nos dados, cuida da tramitação dos processos, examina se os documentos enviados estão completos, emite certificado de propriedade e prepara arquivo para publicação da RPI",Fim,,,Indústria,,Não,Não se aplica,Atende às expectativas,Cliente/Servidor,Windows,Delphi,Informix,,Busca WEB - procedimentos de banco de dados,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,PushEngine,Sistema que envia e-mail aos clientes cadastrados no Busca Web,Fim,,,Indústria,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,,,PAG - acesso à base de dados,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,GALO,Sistema de emissão de guia de recolhimento da União (GRU) em lote,Fim,,,Indústria,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Informix,,PAG - acesso à base de dados,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SISGD,"Sistema de avaliação do desempenho dos servidores do INPI, para fins de progressão e promoção",Meio,,Administração,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,MySQL,"Vraptor
Hibernate",,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,e-Marcas / ed-Marcas,"Sistema / módulo depósitos de formulários eletrônicos de registros de pedidos e petições de marcas e vista eletrônica dos documentos. Faz parte do e-INPI, que é o sistema por meio do qual o INPI oferece serviços aos usuários através da internet",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Oracle,"Vraptor
Hibernate","IdentityManager - webservice RESTful
Pag-WS - webservice RESTful
Pag2 - webservice RESTful
Marcas-WS - webservice RESTful",Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,Vista,Sistema / módulo de acesso aos documentos (pedidos e petições) protocolados eletronicamente no sistema e-Marcas.,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Oracle,"Vraptor
Hibernate",e-Marcas - acesso à base de dados,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,IPAS / MARCAS,"Sistema que substitui o sistema SINPI/Marcas. O sistema em questão visa controlar todo o mecanismo que envolve a proteção de marcas, desde sua solicitação e suas demais fases processuais, como também gerencia o fluxo de petições que dão entrada no INPI diariamente. O sistema conta também com módulos que possibilitam a geração da RPI (Revista da Propriedade Industrial) e a emissão de certificados de Marcas. Interface com os sistemas e-Marcas, PAG",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Windows,Java,Oracle,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,PAG,"Sistema de emissão de Guia de recolhimento da União - GRU, controla a conciliação bancária, protocolo automatizado no recebimento dos documentos e tramite interno dos documentos",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Informix,,"Busca WEB - acesso à base de dados
e-Marcas - acesso à base de dados
IPAS-WS - webservice RESTful
PatentesWS - webservice RESTful",Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,"Busca WEB - Marcas, Patente, Contratos, Programa de Computador e Desenho Industrial",Sistema responsável pela busca de dados bibliográficos dos processos e despachos publicados semanalmente na RPI,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Informix,,"PAG - acesso à base de dados
e-Marcas - acesso à base de dados
SisBioListWS - webservice RESTful
DocsWS - webservice RESTful
PatentesWS - webservice RESTful
Medusa - webservice RESTful
IPAS-WS - webservice RESTful
ContratoWS - webservice RESTful",Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,MEDUSA,Webservice para armazenamento e consulta das imagens das peças dos processos finalísticos do INPI,Fim,,Indústria,,,Sim,,Atende às expectativas,Software como serviço,Linux,Java,Informix,,"Pag-WS - webservice RESTful
SINPI - PTN - Patentes - funções de banco de dados",Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,Pag-WS,Webservice de integração para o sistema PAG,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Software como serviço,Linux,Java,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,IdentityManager,Webservice para autenticação de usuários,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Software como serviço,Linux,Java,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,BuscaWs,Webservice de integração para a busca web,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Software como serviço,Linux,Java,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,BuscaWebWs,"Webservice de integração para a busca web, a fim de prover dados para a OAMI",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Software como serviço,Linux,Java,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,Marcas-WS,Webservice de integração para a busca web,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Software como serviço,Linux,Java,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,E-contratos,Sistema de entrada de formulário eletrônico para contrato,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,Oracle,,"IdentityManager - webservice RESTful
Pag-WS - webservice RESTful
PAG - chamada a servlet
Marcas-WS - webservice RESTful
PatentesWS - webservice RESTful",Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,OUVIDORIA,"Sistema de abertura e registro de comunicados para a Ouvidoria do INPI. Possibilita o protocolo de denúncias, elogios, sugestões e reclamações em última instância (após passarem pelo sistema “Fale Conosco” sem solução)",Meio,,Comunicações,,,Não,Não se aplica,Atende às expectativas,Web,Linux,PHP,MySQL,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,FALE CONOSCO,"Sistema que possibilita o atendimento ao usuário por todas as áreas do INPI, inclusive pela Ouvidoria, como última instância. Esse sistema é o principal canal de interlocução entre os usuários e o INPI. Ele é acionado para buscar informações sobre serviços, tirar dúvidas sobre processos e fazer reclamações",Meio,,Comunicações,,,Não,Não se aplica,Atende às expectativas,Web,Linux,PHP,MySQL,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SIP,"Sistema de Informação de pessoal, que gerencia dados pessoais dos servidores e colaboradores de forma integrada aos dados do SIAPE",Meio,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Ruby on Rails,MySQL,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SIG,"Sistema Web que gerencia dados espaciais de indicações Geográficas, registradas pelo INPI",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Ruby on Rails,MySQL,,SIP - acesso à base de dados,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SISWIFI,"Sistema / inteface que possibilita, tanto servidores quanto não servidores, logarem para fins de utilização da rede Wi fi do INPI",Meio,,Comunicações,,,Não,Não se aplica,Atende às expectativas,Web,Linux,,,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,Portal INPI,"Portal externo de serviços, informações e arquivos para os usuários do INPI. O portal de internet do INPI fornece acesso aos sistemas PAG, e-Marcas, Peticionamento Eletrônico, Busca Web, entre outros.",Meio,,Comunicações,,Gerenciamento de Conteúdo,Não,Não se aplica,Atende às expectativas,Web,Linux,Plone,,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,RPI,Sistema centralizador de publicação das revistas eletrônicas oficiais do INPI e respectivos arquivos texto/XML,Fim,,Comunicações,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Java,MySQL,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,Intranet,"Portal interno de serviços, informações e arquivos para os servidores e colaboradores do INPI. Utilizado para incrementar a comunicação e a produtividade no âmbito do INPI",Meio,,Comunicações,,Gerenciamento de Conteúdo,Não,Não se aplica,Atende às expectativas,Web,Linux,Plone,,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SCPC,"Sistema de controle de processos que tramitam da Procuradoria para as Diregs no INPI como também virtualizar processos dando um dinamismo maior nas tomadas de decisão no que diz respeito a Mandados de Segurança, Ofícios e Subsídios",Meio,,Administração,,,Não,Não se aplica,Atende às expectativas,Web,Linux,,,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,CONJUR,"Sistema para o suporte às atividades da Procuradoria do Instituto. Tem por objetivo principal oferecer uma numeração sequencial para documentos. Serve também tanto como canal de criação quanto de consulta de documentos diversos (pareceres, notas técnicas, despachos, entre outros)",Meio,,Administração,,,Não,Não se aplica,Atende às expectativas,Web,Linux,,,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,ST36,Sistema que exporta dados bibliográficos de Patentes no formato ST36(XML),Meio,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Delphi,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SINPI – AD – Análise de Documentos,Sistema que visa automatizar os processos de pesquisa de documentos de Patentes e Bibliográficos. Este sistema permite que um determinado assunto possa ser pesquisado de acordo com as estratégias definidas pelo usuário,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Web,Linux,Delphi,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SINPI – PROFINT,"Sistema de fornecimento de Informação Tecnológica, que visa manter o cliente atualizado das novas publicações nos diversos segmentos tecnológicos, enviando mensalmente, folhas de rosto dos documentos de patentes selecionados pelo sistema",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Cliente/Servidor,Linux,Delphi,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SINPI – CD - Controle de Documentos,Sistema que controla a movimentação física de qualquer tipo de documento que transita pelo INPI,Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Cliente/Servidor,Linux,Delphi,Informix,,,Em produção
382,INPI – Instituto Nacional da Propriedade Industrial,42513,SINPI – SISCON,"Sistema de Contratos de Transferência de Tecnologia, responsável pela averbação dos contratos de tecnologia entre empresas e pessoas físicas",Fim,,Indústria,,,Não,Não se aplica,Atende às expectativas,Cliente/Servidor,Linux,Delphi,Informix,,,Em produção
